pizza_name_id,predicted_quantity,pizza_name,pizza_size,pizza_category
big_meat_s,53,The Big Meat Pizza,S,Classic
classic_dlx_m,31,The Classic Deluxe Pizza,M,Classic
five_cheese_l,28,The Five Cheese Pizza,L,Veggie
four_cheese_l,26,The Four Cheese Pizza,L,Veggie
pepperoni_l,25,The Pepperoni Pizza,L,Classic
ital_supr_m,24,The Italian Supreme Pizza,M,Supreme
cali_ckn_l,23,The California Chicken Pizza,L,Chicken
spicy_ital_l,23,The Spicy Italian Pizza,L,Supreme
southw_ckn_l,22,The Southwest Chicken Pizza,L,Chicken
bbq_ckn_l,22,The Barbecue Chicken Pizza,L,Chicken
classic_dlx_s,21,The Classic Deluxe Pizza,S,Classic
hawaiian_l,21,The Hawaiian Pizza,L,Classic
thai_ckn_l,21,The Thai Chicken Pizza,L,Chicken
mexicana_l,20,The Mexicana Pizza,L,Veggie
pepperoni_m,18,The Pepperoni Pizza,M,Classic
hawaiian_s,17,The Hawaiian Pizza,S,Classic
ckn_alfredo_m,17,The Chicken Alfredo Pizza,M,Chicken
pepperoni_s,17,The Pepperoni Pizza,S,Classic
sicilian_m,16,The Sicilian Pizza,M,Supreme
ital_cpcllo_l,16,The Italian Capocollo Pizza,L,Classic
prsc_argla_m,16,The Prosciutto and Arugula Pizza,M,Supreme
bbq_ckn_m,16,The Barbecue Chicken Pizza,M,Chicken
ital_veggie_m,15,The Italian Vegetables Pizza,M,Veggie
the_greek_xl,15,The Greek Pizza,XL,Classic
pep_msh_pep_m,14,"The Pepperoni, Mushroom, and Peppers Pizza",M,Classic
green_garden_s,14,The Green Garden Pizza,S,Veggie
cali_ckn_m,14,The California Chicken Pizza,M,Chicken
mediterraneo_l,14,The Mediterranean Pizza,L,Veggie
pep_msh_pep_s,13,"The Pepperoni, Mushroom, and Peppers Pizza",S,Classic
spinach_fet_m,13,The Spinach and Feta Pizza,M,Veggie
sicilian_l,13,The Sicilian Pizza,L,Supreme
ital_supr_l,13,The Italian Supreme Pizza,L,Supreme
napolitana_l,13,The Napolitana Pizza,L,Classic
prsc_argla_l,13,The Prosciutto and Arugula Pizza,L,Supreme
peppr_salami_s,13,The Pepper Salami Pizza,S,Supreme
cali_ckn_s,13,The California Chicken Pizza,S,Chicken
thai_ckn_m,12,The Thai Chicken Pizza,M,Chicken
veggie_veg_m,12,The Vegetables + Vegetables Pizza,M,Veggie
spicy_ital_s,12,The Spicy Italian Pizza,S,Supreme
spinach_supr_s,12,The Spinach Supreme Pizza,S,Supreme
calabrese_m,12,The Calabrese Pizza,M,Supreme
brie_carre_s,11,The Brie Carre Pizza,S,Supreme
peppr_salami_m,11,The Pepper Salami Pizza,M,Supreme
soppressata_s,11,The Soppressata Pizza,S,Supreme
southw_ckn_m,11,The Southwest Chicken Pizza,M,Chicken
